ID,IMAGE_URL,NAME,SKU,CATEGORY,COLOR,SIZE,WEIGHT,DESCRIPTION,PRICE,BRAND
P_110052760,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Pebeo Origin Acrylic Paint 120mL Cadmium Red Hue,110052760,Paint,,,0.375,"Pebeo Acrylic Paint is an ideal addition to your art set. It provides rich and vibrant pigments on your page, and gives an eye-catching matt finish to your masterpieces.  Features This is water-based paint.50% of the Pebeo origin range is single pigment, which makes it suited for mixing.The paint is odour free and suitable for vegans.This bottle comes with 120mL of paint.It comes in a Cadmium Red Hue colourway. ",,Pebeo
P_110053359,"https://assets.kmart.com.au/transform/14036949-59f9-4372-b0b8-2a3f1e16e520/110053359-2?io=transform:extend,width:580,height:725",Sculpey III Modelling Clay Turquoise Glitter 57g,110053359,Crafting Objects,,,0.375,"Sculpey III Modelling Clay has a soft construction and is a great option for those who like to create. You can use tools on the clay for added detail and bake it at 130 degrees Celsius to enjoy permanent models and builds.  Features The clay can be baked in the oven for permanent results.This is a polymer clay.This clay is non-toxic for your safety.It's perfect for mica shift, caning and mokume gane techniques.There is 57 g in this pack.This clay is a glittery turquoise colour.Simply bake the clay at 130 degrees Celsius for 15 minutes per 6 mm thickness to solidify your mould. ",,Sculpey
P_110051876,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Liquitex Basics 118mL Paint Brilliant Yellow Green,110051876,Paint,,,0.375,"Liquitex Basics Acrylic Paint has a heavy body formula which retains peaks and brush strokes so you can create detailed artwork with a satin finish. Each colour is uniquely formulated for vibrant, pigmented results.  Features This heavy body acrylic paint retains peaks and brush strokes yet dries to a satin finish.It contains permanent artist pigments for lasting, vibrant colours.You can mix it with any Liquitex Professional Acrylic Colour to create your own unique colours.All colours hold the AP seal from ACMI and are safe for educational use, making them ideal for learning colour theory and colour mixing.The flip top cap makes it easy to dispense the paint.The tube contains 118 mL of paint.This paint comes in the colour Brilliant Yellow Green. ",,Liquitex
P_110052182,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Liquitex Matte Gel Medium 237mL,110052182,Paint,,,0.375,"This Liquitex Matte Gel Medium can be added to paints to increase translucency and viscosity for added texture in your work. This gel can also increase the volume of your paints giving you more to work with without compromising the quality of the paint. You can use this gel with all kinds of mixed media including collages, giving them a more professional finish.  Features This medium can give your artworks a satin or matte finish, changing the state of shinier media.The gel can also thicken paint giving it more rigidity and allowing you to create deeper brush strokes.This gel can also increase the volume of your paint which will give you more paint to create larger works of art.There is 237 mL in each bottle. ",,Liquitex
P_110052266,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Liquitex Professional Ink 30mL Cerulean Blue Hue,110052266,Paint,,,0.375,"This Liquitex Professional Acrylic Ink boasts an extremely fluid consistency that uses super-fine pigments in a state-of-the-art acrylic emulsion. The paint dries quickly, while the results are permanent and resistant to water. The non-clogging element of the paint makes it ideal for a variety of techniques from watercolour effects to stamping.  Features It has a unique and versatile formula which is made using water-based, fluid acrylics.You can use these inks in conjunction with other Liquitex acrylic products.Each colour is made using super-fine pigments for smooth, even coverage.You can use them with a variety of art techniques including stamping, calligraphy, fabric painting, pouring, airbrushing and more.The inks are fast drying and will be permanent and water resistant once dry.The bottle contains 30 mL of Liquitex Ink.This Liquitex Ink is Cerulean Blue Hue colour. ",,Liquitex
P_110053132,"https://assets.kmart.com.au/transform/48c926b8-504f-4d04-882f-5de6db0d90fa/110053132-3?io=transform:extend,width:580,height:725",Keji Jumbo Crayons 28 Pack,110053132,Crafting Objects,,,0.375,"Keji Colouring Crayons are perfect for drawing, colouring and completing your art and craft activities. The pack includes a variety of bright and vibrant colours to suit most projects.  Features The pack contains an assortment of bright, vibrant colours so you'll be able to find the right colour for your work.They are perfect for most art and craft projects, including drawing and colouring.These crayons are made using a talc free formula for your peace of mind.It is recommended for ages 5-8, but is suitable for all ages.There are 28 crayons included in this pack. ",,Keji
P_110052074,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Reeves Oil Paint 50mL Raw Umber,110052074,Paint,,,0.375,"This Reeves Oil Paint is ideal for creating your own masterpieces. It is highly pigmented and has a buttery, smooth texture, making it ideal for blending, glazing and impasto. It has a long drying time allowing you to revise and fix mistakes while still wet, and it can be cleaned with solvents.  Features It’s an oil-based paint.It has long-drying properties allowing you to fix mistakes before the paint sets.The highly pigmented and smooth texture ensures that your painting pops on the page.It is non-toxic for your safety.It comes in a handy 50 mL size bottle.This paint is a raw umber colour. ",,Reeves
P_110051977,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Born Acrylic Paint 200mL Violet,110051977,Paint,,,0.375,"The Born Acrylic Paint is ideal for aspiring artists and art hobbyists, providing a smooth painting experience when you stroke it on the canvas. It dries to a permanent, water-proof satin finish that is non-toxic for your peace of mind. The colour-mixing and blending properties allow you to experiment with colours and it can even be thinned with water for a wash effect, allowing you to continue improving on your artistic skills and tapping into your creativity.  Features This arcylic paint is water-based and dries to a permanent satin finish.The properties of the paint allow for colour mixing and blending.It can be thinned with water to create a wash effect.It's great for creating art on paper, card, wood and a variety of other surfaces.It is non-toxic for your peace of mind.It comes in a 200 mL size.This paint has a sleek, merlot colour. ",,Born
P_110053060,"https://assets.kmart.com.au/transform/625acb02-bca2-4b6c-82a0-eab2db4b03b1/110053060-3?io=transform:extend,width:580,height:725",Liquitex Basics 118mL Paint Cerulean Blue Hue,110053060,Paint,,,0.375,"Liquitex Basics Acrylic Paint has a heavy body formula which retains peaks and brush strokes so you can create detailed artwork with a satin finish. Each colour is uniquely formulated for vibrant, pigmented results.  Features This heavy body acrylic paint retains peaks and brush strokes yet dries to a satin finish.It contains permanent artist pigments for lasting, vibrant colours.You can mix it with any Liquitex Professional Acrylic Colour to create your own unique colours.All colours hold the AP seal from ACMI and are safe for educational use, making them ideal for learning colour theory and colour mixing.The flip top cap makes it easy to dispense the paint.The tube contains 118 mL of paint.This paint comes in the colour Cerulean Blue Hue. ",,Liquitex
P_110053111,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Faber-Castell Compressed Charcoal Extra Soft 3 Pack,110053111,Crafting Objects,,,0.375,This Faber-Castell Pitt Compressed Charcoal is comprised of both soot and charcoal for a deep black tone. It's grease and oil free so it won't run on the page and is quite soft for easy application.  Features The construction of this charcoal produces a very deep black.It's soft for smooth and even application.It's not encased so you can use it on its side to cover large areas.This charcoal is extra soft. ,,Faber-Castell
